Scenario_ID,Type,N_Chargers,Lat,Lng,Hub_ID
Smart_50,Smart,50,41.41201054789027,2.1824611841650103,38
Smart_50,Smart,50,41.43989029516692,2.1519308655418548,39
Smart_50,Smart,50,41.4239495721374,2.2030731975050153,40
Smart_50,Smart,50,41.36001067549857,2.139827183349668,41
Smart_50,Smart,50,41.40689832007192,2.1439151660088838,42
Smart_50,Smart,50,41.45025054874097,2.1912667684025995,43
Smart_50,Smart,50,41.37863139597361,2.162014870550664,44
Smart_50,Smart,50,41.37768310058392,2.190148002318881,45
Smart_50,Smart,50,41.445032962465035,2.163450499676048,46
Smart_50,Smart,50,41.42458218011698,2.16524146011504,47
Smart_50,Smart,50,41.425464983067165,2.1301057030599684,48
Smart_50,Smart,50,41.4299022787665,2.1772789870968765,49
Smart_50,Smart,50,41.37464853075118,2.1277223479831564,50
